Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
0149025320230930,09/30/2023,149,253,167,TEAM
0196057420230930,09/30/2023,196,574,127,TEAM
0204012920230930,09/30/2023,204,129,70,TEAM
0235033420230930,09/30/2023,235,334,53,TEAM
0257003720230930,09/30/2023,257,37,1,TEAM
0277046520230930,09/30/2023,277,465,198,TEAM
0288070020230930,09/30/2023,288,700,129,TEAM
0301055920230930,09/30/2023,301,559,50,TEAM
0306039220230930,09/30/2023,306,392,64,TEAM
0311052220230930,09/30/2023,311,522,103,TEAM
0328070320230930,09/30/2023,328,703,119,TEAM
0365043320230930,09/30/2023,365,433,76,TEAM
0414033120230930,09/30/2023,414,331,100,TEAM
0416031220230930,09/30/2023,416,312,41,TEAM
0418046320230930,09/30/2023,418,463,84,TEAM
0434073620230930,09/30/2023,434,736,117,TEAM
0458066320230930,09/30/2023,458,663,122,TEAM
0466009620230930,09/30/2023,466,96,13,TEAM
0473081120230930,09/30/2023,473,811,144,TEAM
0503070920230930,09/30/2023,503,709,102,TEAM
0513019320230930,09/30/2023,513,193,80,TEAM
0523038820230930,09/30/2023,523,388,142,TEAM
0529067420230930,09/30/2023,529,674,19,TEAM
0539050920230930,09/30/2023,539,509,46,TEAM
0545074220230930,09/30/2023,545,742,136,TEAM
0626072120230930,09/30/2023,626,721,21,TEAM
0646031720230930,09/30/2023,646,317,323,TEAM
0648069420230930,09/30/2023,648,694,114,TEAM
0651072620230930,09/30/2023,651,726,62,TEAM
0657015720230930,09/30/2023,657,157,20,TEAM
0670066420230930,09/30/2023,670,664,75,TEAM
0671042820230930,09/30/2023,671,428,153,TEAM
0697003120230930,09/30/2023,697,31,155,NEUTRAL
0716025420230930,09/30/2023,716,254,189,TEAM
0731016420230930,09/30/2023,731,164,25,TEAM
0746006720230930,09/30/2023,746,67,61,TEAM
0748058720230930,09/30/2023,748,587,86,TEAM
0756002920230930,09/30/2023,756,29,11,TEAM
0768069820230930,09/30/2023,768,698,125,TEAM
4001015620230930,09/30/2023,4001,156,188,TEAM
0231047220231004,10/04/2023,231,472,88,TEAM
0315041920231004,10/04/2023,315,419,116,TEAM
0624035520231005,10/05/2023,624,355,194,TEAM
0772036620231005,10/05/2023,772,366,59,TEAM
0327052120231006,10/06/2023,327,521,104,TEAM
0463030120231006,10/06/2023,463,301,44,TEAM
0008069720231007,10/07/2023,8,697,120,TEAM
0029065720231007,10/07/2023,29,657,14,TEAM
0030071620231007,10/07/2023,30,716,4,TEAM
0031043320231007,10/07/2023,31,433,76,TEAM
0047020420231007,10/07/2023,47,204,71,TEAM
0067072520231007,10/07/2023,67,725,93,TEAM
0071041420231007,10/07/2023,71,414,101,TEAM
0096081120231007,10/07/2023,96,811,144,TEAM
0128032820231007,10/07/2023,128,328,51,TEAM
0129008620231007,10/07/2023,129,86,91,TEAM
0156073120231007,10/07/2023,156,731,133,TEAM
0157002820231007,10/07/2023,157,28,10,TEAM
0164057420231007,10/07/2023,164,574,127,TEAM
0255041520231007,10/07/2023,255,415,30,TEAM
0290050920231007,10/07/2023,290,509,46,TEAM
0331051920231007,10/07/2023,331,519,95,TEAM
0334025720231007,10/07/2023,334,257,36,TEAM
0365043420231007,10/07/2023,365,434,73,TEAM
0388049020231007,10/07/2023,388,490,82,TEAM
0392051820231007,10/07/2023,392,518,99,TEAM
0418042820231007,10/07/2023,418,428,153,TEAM
0497072620231007,10/07/2023,497,726,62,TEAM
0503000520231007,10/07/2023,503,5,154,TEAM
0513036720231007,10/07/2023,513,367,54,TEAM
0522070320231007,10/07/2023,522,703,121,NEUTRAL
0523066420231007,10/07/2023,523,664,75,TEAM
0528010720231007,10/07/2023,528,107,12,TEAM
0559031220231007,10/07/2023,559,312,41,TEAM
0587079620231007,10/07/2023,587,796,141,TEAM
0630006620231007,10/07/2023,630,66,42,TEAM
0646049820231007,10/07/2023,646,498,57,TEAM
0651000920231007,10/07/2023,651,9,329,TEAM
0670067120231007,10/07/2023,670,671,56,TEAM
0688045720231007,10/07/2023,688,457,78,TEAM
0698031120231007,10/07/2023,698,311,40,TEAM
0700005120231007,10/07/2023,700,51,183,TEAM
0706069020231007,10/07/2023,706,690,109,TEAM
0709040020231007,10/07/2023,709,400,173,TEAM
0719022920231007,10/07/2023,719,229,159,TEAM
0736023520231007,10/07/2023,736,235,27,TEAM
0742023420231007,10/07/2023,742,234,33,TEAM
0749014720231007,10/07/2023,749,147,112,TEAM
0754011020231007,10/07/2023,754,110,15,TEAM
0774043020231007,10/07/2023,774,430,77,TEAM
0786074620231007,10/07/2023,786,746,137,TEAM
0149002720231010,10/10/2023,149,27,168,TEAM
0355031520231010,10/10/2023,355,315,207,TEAM
0366041920231010,10/10/2023,366,419,116,TEAM
0624047220231011,10/11/2023,624,472,88,TEAM
0704023120231011,10/11/2023,704,231,31,TEAM
0663019620231012,10/12/2023,663,196,81,TEAM
0768028820231012,10/12/2023,768,288,184,TEAM
0096073120231013,10/13/2023,96,731,133,TEAM
0674015720231013,10/13/2023,674,157,20,TEAM
0718040420231013,10/13/2023,718,404,115,TEAM
0005012920231014,10/14/2023,5,129,70,TEAM
0009070620231014,10/14/2023,9,706,130,TEAM
0029075420231014,10/14/2023,29,754,138,TEAM
0031000820231014,10/14/2023,31,8,5,TEAM
0037036520231014,10/14/2023,37,365,55,TEAM
0066015620231014,10/14/2023,66,156,188,TEAM
0071008620231014,10/14/2023,71,86,91,TEAM
0077069820231014,10/14/2023,77,698,125,TEAM
0107073220231014,10/14/2023,107,732,135,TEAM
0110052820231014,10/14/2023,110,528,107,TEAM
0229065120231014,10/14/2023,229,651,35,TEAM
0235064820231014,10/14/2023,235,648,113,TEAM
0253031720231014,10/14/2023,253,317,323,TEAM
0257073620231014,10/14/2023,257,736,117,TEAM
0301039220231014,10/14/2023,301,392,64,TEAM
0306041820231014,10/14/2023,306,418,66,TEAM
0311014020231014,10/14/2023,311,140,97,TEAM
0312079620231014,10/14/2023,312,796,141,TEAM
0327070020231014,10/14/2023,327,700,129,TEAM
0328052120231014,10/14/2023,328,521,104,TEAM
0331020420231014,10/14/2023,331,204,71,TEAM
0367054520231014,10/14/2023,367,545,110,TEAM
0388025420231014,10/14/2023,388,254,189,TEAM
0400053920231014,10/14/2023,400,539,111,TEAM
0414077420231014,10/14/2023,414,774,69,TEAM
0415045720231014,10/14/2023,415,457,78,TEAM
0416058720231014,10/14/2023,416,587,86,TEAM
0434033420231014,10/14/2023,434,334,53,TEAM
0465046620231014,10/14/2023,465,466,90,TEAM
0490019320231014,10/14/2023,490,193,80,TEAM
0498067020231014,10/14/2023,498,670,131,TEAM
0518055920231014,10/14/2023,518,559,50,TEAM
0519050320231014,10/14/2023,519,503,45,TEAM
0529075620231014,10/14/2023,529,756,139,TEAM
0626027720231014,10/14/2023,626,277,203,TEAM
0630047320231014,10/14/2023,630,473,87,TEAM
0657051320231014,10/14/2023,657,513,49,TEAM
0688023420231014,10/14/2023,688,234,33,TEAM
0690049720231014,10/14/2023,690,497,160,TEAM
0697069420231014,10/14/2023,697,694,114,TEAM
0709004720231014,10/14/2023,709,47,48,TEAM
0716072520231014,10/14/2023,716,725,93,TEAM
0726045820231014,10/14/2023,726,458,179,TEAM
0749074220231014,10/14/2023,749,742,136,TEAM
0811072120231014,10/14/2023,811,721,21,TEAM
0419035520231017,10/17/2023,419,355,194,TEAM
0664064620231017,10/17/2023,664,646,197,TEAM
0772031520231017,10/17/2023,772,315,207,TEAM
0231062420231018,10/18/2023,231,624,314,TEAM
0472070420231018,10/18/2023,472,704,124,TEAM
0317038820231019,10/19/2023,317,388,142,TEAM
0574071920231019,10/19/2023,574,719,105,TEAM
0663069020231020,10/20/2023,663,690,109,TEAM
0005007120231021,10/21/2023,5,71,96,TEAM
0027052320231021,10/21/2023,27,523,169,TEAM
0028075620231021,10/21/2023,28,756,139,TEAM
0051014020231021,10/21/2023,51,140,97,TEAM
0067025520231021,10/21/2023,67,255,37,TEAM
0086033120231021,10/21/2023,86,331,100,TEAM
0110067420231021,10/21/2023,110,674,19,TEAM
0128052220231021,10/21/2023,128,522,103,TEAM
0129004720231021,10/21/2023,129,47,48,TEAM
0147041520231021,10/21/2023,147,415,30,TEAM
0149003020231021,10/21/2023,149,30,7,TEAM
0156046520231021,10/21/2023,156,465,198,TEAM
0193023420231021,10/21/2023,193,234,33,TEAM
0204050320231021,10/21/2023,204,503,45,TEAM
0254067120231021,10/21/2023,254,671,56,TEAM
0277047320231021,10/21/2023,277,473,87,TEAM
0404000920231021,10/21/2023,404,9,329,TEAM
0418041620231021,10/21/2023,418,416,68,TEAM
0428031220231021,10/21/2023,428,312,41,TEAM
0430003120231021,10/21/2023,430,31,6,TEAM
0433003720231021,10/21/2023,433,37,1,TEAM
0458019620231021,10/21/2023,458,196,81,TEAM
0466062620231021,10/21/2023,466,626,746,TEAM
0497071820231021,10/21/2023,497,718,185,TEAM
0498025320231021,10/21/2023,498,253,167,TEAM
0509046320231021,10/21/2023,509,463,84,TEAM
0521076820231021,10/21/2023,521,768,143,TEAM
0539051820231021,10/21/2023,539,518,99,TEAM
0545074920231021,10/21/2023,545,749,83,TEAM
0587030620231021,10/21/2023,587,306,47,TEAM
0648043420231021,10/21/2023,648,434,73,TEAM
0651016420231021,10/21/2023,651,164,25,TEAM
0694000820231021,10/21/2023,694,8,5,TEAM
0698032720231021,10/21/2023,698,327,52,TEAM
0700007720231021,10/21/2023,700,77,134,TEAM
0703028820231021,10/21/2023,703,288,184,TEAM
0706022920231021,10/21/2023,706,229,159,TEAM
0709041420231021,10/21/2023,709,414,101,TEAM
0721072620231021,10/21/2023,721,726,62,TEAM
0725036520231021,10/21/2023,725,365,55,TEAM
0731063020231021,10/21/2023,731,630,18,TEAM
0732065720231021,10/21/2023,732,657,14,TEAM
0746045720231021,10/21/2023,746,457,78,TEAM
0754052920231021,10/21/2023,754,529,108,TEAM
0774051920231021,10/21/2023,774,519,95,TEAM
0796030120231021,10/21/2023,796,301,44,TEAM
0355077220231024,10/24/2023,355,772,148,TEAM
0472036620231024,10/24/2023,472,366,59,TEAM
0315023120231025,10/25/2023,315,231,31,TEAM
0704062420231025,10/25/2023,704,624,314,TEAM
0254025320231026,10/26/2023,254,253,167,TEAM
0688074220231026,10/26/2023,688,742,136,TEAM
0229045820231027,10/27/2023,229,458,179,TEAM
0030049820231028,10/28/2023,30,498,57,TEAM
0077070320231028,10/28/2023,77,703,119,TEAM
0140052120231028,10/28/2023,140,521,104,TEAM
0147049020231028,10/28/2023,147,490,82,TEAM
0157011020231028,10/28/2023,157,110,15,TEAM
0164006720231028,10/28/2023,164,67,61,TEAM
0193036720231028,10/28/2023,193,367,54,TEAM
0196070620231028,10/28/2023,196,706,130,TEAM
