Game Code,Drive Number,Team Code,Start Period,Start Clock,Start Spot,Start Reason,End Period,End Clock,End Spot,End Reason,Plays,Yards,Time Of Possession,Red Zone Attempt
0231036620230826,11,231,2,228,75,KICKOFF,2,142,69,PUNT,3,6,86,0
0231036620230826,12,366,2,142,89,PUNT,2,0,15,FIELD GOAL,10,74,142,1
0231036620230826,13,366,3,900,65,KICKOFF,3,756,45,FUMBLE,7,20,144,0
0231036620230826,14,231,3,756,55,FUMBLE,3,666,65,PUNT,3,-10,90,0
0231036620230826,15,366,3,666,75,PUNT,3,614,80,PUNT,3,-5,52,0
0231036620230826,16,231,3,614,65,PUNT,3,536,58,PUNT,3,7,78,0
0231036620230826,17,366,3,536,78,PUNT,3,148,44,PUNT,11,34,388,0
0231036620230826,18,231,3,148,80,PUNT,3,33,86,PUNT,3,-6,115,0
0231036620230826,19,366,3,33,45,PUNT,4,754,29,FIELD GOAL,7,16,179,0
0231036620230826,20,231,4,754,75,KICKOFF,4,499,66,PUNT,6,9,255,0
0231036620230826,21,366,4,499,72,PUNT,4,210,26,MISSED FIELD GOAL,9,46,289,0
0231036620230826,22,231,4,210,74,MISSED FIELD GOAL,4,148,66,PUNT,3,8,62,0
0231036620230826,23,366,4,148,69,PUNT,4,61,0,TOUCHDOWN,7,69,87,0
0231036620230826,24,231,4,61,75,KICKOFF,4,49,80,INTERCEPTION,2,-5,12,0
0231036620230826,25,366,4,49,39,INTERCEPTION,4,0,42,END OF HALF,2,-3,49,0
0704031520230826,1,315,1,900,75,KICKOFF,1,757,67,PUNT,5,8,143,0
0704031520230826,2,704,1,757,95,PUNT,1,480,53,DOWNS,9,42,277,0
0704031520230826,3,315,1,480,47,DOWNS,1,297,23,FIELD GOAL,10,24,183,0
0704031520230826,4,704,1,297,75,KICKOFF,1,126,58,PUNT,5,17,171,0
0704031520230826,5,315,1,126,80,PUNT,2,806,0,TOUCHDOWN,12,80,220,1
0704031520230826,6,704,2,806,75,KICKOFF,2,386,26,MISSED FIELD GOAL,12,49,420,0
0704031520230826,7,315,2,386,74,MISSED FIELD GOAL,2,324,73,PUNT,3,1,62,0
0704031520230826,8,704,2,324,71,PUNT,2,144,39,FUMBLE,5,32,180,0
0704031520230826,9,315,2,144,61,FUMBLE,2,91,54,PUNT,3,7,53,0
0704031520230826,10,704,2,91,74,PUNT,2,0,0,TOUCHDOWN,9,74,91,1
0704031520230826,11,704,3,900,75,KICKOFF,3,775,52,INTERCEPTION,4,23,125,0
0704031520230826,12,315,3,775,59,INTERCEPTION,3,634,30,DOWNS,6,29,141,0
0704031520230826,13,704,3,634,70,DOWNS,3,540,67,PUNT,3,3,94,0
0704031520230826,14,315,3,540,66,PUNT,3,467,0,TOUCHDOWN,3,66,73,1
0704031520230826,15,704,3,467,75,KICKOFF,3,404,69,PUNT,3,6,63,0
0704031520230826,16,315,3,404,86,PUNT,3,81,26,MISSED FIELD GOAL,13,60,323,0
0704031520230826,17,704,3,81,74,MISSED FIELD GOAL,4,739,0,TOUCHDOWN,8,74,242,0
0704031520230826,18,315,4,739,75,KICKOFF,4,604,54,PUNT,6,21,135,0
0704031520230826,19,704,4,604,86,PUNT,4,395,69,PUNT,6,17,209,0
0704031520230826,20,315,4,395,68,PUNT,4,281,62,PUNT,3,6,114,0
0704031520230826,21,704,4,281,88,PUNT,4,75,24,INTERCEPTION,9,64,206,0
0704031520230826,22,315,4,75,78,INTERCEPTION,4,0,80,END OF HALF,2,-2,75,0
0726051320230826,1,513,1,894,81,KICKOFF,1,506,0,TOUCHDOWN,13,81,388,1
0726051320230826,2,726,1,506,75,KICKOFF,1,270,37,DOWNS,7,38,236,0
0726051320230826,3,513,1,270,63,DOWNS,1,63,0,TOUCHDOWN,7,63,207,1
0726051320230826,4,726,1,63,75,KICKOFF,2,712,58,PUNT,7,17,251,0
0726051320230826,5,513,2,712,78,PUNT,2,600,0,TOUCHDOWN,4,78,112,0
0726051320230826,6,726,2,600,75,KICKOFF,2,115,19,MISSED FIELD GOAL,14,56,485,1
0726051320230826,7,513,2,115,80,MISSED FIELD GOAL,2,13,0,TOUCHDOWN,9,80,102,1
0726051320230826,8,726,2,13,75,KICKOFF,2,0,77,END OF HALF,1,-2,13,0
0726051320230826,9,726,3,900,75,KICKOFF,3,744,68,PUNT,3,7,156,0
0726051320230826,10,513,3,744,63,PUNT,3,576,0,TOUCHDOWN,6,63,168,1
0726051320230826,11,726,3,571,94,KICKOFF,3,436,98,PUNT,3,-4,135,0
0726051320230826,12,513,3,436,37,PUNT,3,249,24,MISSED FIELD GOAL,6,13,187,1
0726051320230826,13,726,3,249,76,MISSED FIELD GOAL,3,37,86,PUNT,7,-10,212,0
0726051320230826,14,513,3,37,60,PUNT,4,714,0,TOUCHDOWN,7,60,223,0
0726051320230826,15,726,4,714,75,KICKOFF,4,213,13,FIELD GOAL,15,62,501,1
0726051320230826,16,513,4,207,73,KICKOFF,4,0,62,END OF HALF,6,11,207,0
0277073620230826,1,277,1,892,73,KICKOFF,1,768,68,PUNT,3,5,124,0
0277073620230826,2,736,1,768,32,PUNT,1,686,0,TOUCHDOWN,4,32,82,0
0277073620230826,3,277,1,686,75,KICKOFF,1,433,0,TOUCHDOWN,8,75,253,1
0277073620230826,4,277,1,413,70,KICKOFF,1,0,71,PUNT,3,-1,413,0
0277073620230826,5,736,1,0,84,PUNT,2,896,0,TOUCHDOWN,8,84,4,1
0277073620230826,6,277,2,888,68,KICKOFF,2,783,0,TOUCHDOWN,5,68,105,0
0277073620230826,7,736,2,783,75,KICKOFF,2,530,36,DOWNS,7,39,253,0
0277073620230826,8,277,2,530,64,DOWNS,2,372,5,INTERCEPTION,5,59,158,1
0277073620230826,9,736,2,372,80,INTERCEPTION,2,228,81,PUNT,3,-1,144,0
0277073620230826,10,277,2,228,67,PUNT,2,38,66,PUNT,5,1,190,0
0277073620230826,11,736,2,38,69,PUNT,2,0,79,END OF HALF,2,-10,38,0
0277073620230826,12,736,3,900,75,KICKOFF,3,801,71,PUNT,3,4,99,0
0277073620230826,13,277,3,801,80,PUNT,3,693,83,PUNT,3,-3,108,0
0277073620230826,14,736,3,693,38,PUNT,3,572,0,TOUCHDOWN,4,38,121,1
0277073620230826,15,277,3,565,73,KICKOFF,3,164,13,DOWNS,12,60,401,1
0277073620230826,16,736,3,164,87,DOWNS,4,888,0,TOUCHDOWN,10,87,176,0
0277073620230826,17,277,4,888,75,KICKOFF,4,680,0,TOUCHDOWN,8,75,208,1
0277073620230826,18,736,4,680,75,KICKOFF,4,427,33,DOWNS,8,42,253,0
0277073620230826,19,277,4,427,67,DOWNS,4,289,0,TOUCHDOWN,6,67,138,1
0277073620230826,20,736,4,285,51,KICKOFF,4,134,42,PUNT,4,9,151,0
0277073620230826,21,277,4,134,80,PUNT,4,103,75,INTERCEPTION,2,5,31,0
0277073620230826,22,736,4,103,27,INTERCEPTION,4,0,32,END OF HALF,3,-5,103,0
0400047220230826,1,400,1,900,75,KICKOFF,1,809,69,PUNT,3,6,91,0
0400047220230826,2,472,1,809,77,PUNT,1,688,63,INTERCEPTION,3,14,121,0
0400047220230826,3,400,1,688,35,INTERCEPTION,1,620,0,TOUCHDOWN,3,35,68,1
0400047220230826,4,472,1,620,75,KICKOFF,1,408,59,PUNT,5,16,212,0
0400047220230826,5,400,1,408,95,PUNT,1,301,71,PUNT,5,24,107,0
0400047220230826,6,472,1,301,48,PUNT,1,77,48,PUNT,3,0,224,0
0400047220230826,7,400,1,77,96,PUNT,2,844,85,PUNT,4,11,133,0
0400047220230826,8,472,2,844,57,PUNT,2,705,51,PUNT,3,6,139,0
0400047220230826,9,400,2,705,80,PUNT,2,572,77,PUNT,3,3,133,0
0400047220230826,10,472,2,572,85,PUNT,2,514,0,TOUCHDOWN,2,85,58,0
0400047220230826,11,400,2,514,75,KICKOFF,2,235,14,FIELD GOAL,9,61,279,1
0400047220230826,12,472,2,235,75,KICKOFF,2,3,17,FIELD GOAL,9,58,232,1
0400047220230826,13,472,3,893,83,KICKOFF,3,763,74,PUNT,3,9,130,0
0400047220230826,14,400,3,763,67,PUNT,3,387,12,FIELD GOAL,11,55,376,1
0400047220230826,15,472,3,387,75,KICKOFF,3,15,17,MISSED FIELD GOAL,11,58,372,1
0400047220230826,16,400,3,15,80,MISSED FIELD GOAL,4,868,0,TOUCHDOWN,3,80,47,1
0400047220230826,17,472,4,860,79,KICKOFF,4,807,0,TOUCHDOWN,3,79,53,0
0400047220230826,18,400,4,807,75,KICKOFF,4,467,0,TOUCHDOWN,10,75,340,1
0400047220230826,19,472,4,467,75,KICKOFF,4,400,52,INTERCEPTION,3,23,67,0
0400047220230826,20,472,4,400,75,KICKOFF,4,275,0,TOUCHDOWN,8,75,125,0
0400047220230826,21,400,4,275,50,KICKOFF,4,210,45,PUNT,3,5,65,0
0400047220230826,22,472,4,210,80,PUNT,4,156,76,FUMBLE,4,4,54,0
0400047220230826,23,400,4,156,24,FUMBLE,4,103,0,TOUCHDOWN,2,24,53,0
0400047220230826,24,472,4,103,75,KICKOFF,4,0,0,TOUCHDOWN,9,75,103,1
0572025420230831,1,254,1,900,76,KICKOFF,1,816,0,TOUCHDOWN,4,76,84,0
0572025420230831,2,572,1,816,75,KICKOFF,1,538,16,MISSED FIELD GOAL,10,59,278,1
0572025420230831,3,254,1,538,80,MISSED FIELD GOAL,1,255,0,TOUCHDOWN,13,80,283,1
0572025420230831,4,572,1,255,75,KICKOFF,2,850,0,TOUCHDOWN,12,75,305,1
0572025420230831,5,254,2,850,67,KICKOFF,2,691,0,TOUCHDOWN,6,67,159,0
0572025420230831,6,572,2,691,75,KICKOFF,2,329,10,INTERCEPTION,12,65,362,1
0572025420230831,7,254,2,329,80,INTERCEPTION,2,197,75,PUNT,3,5,132,0
0572025420230831,8,572,2,197,30,PUNT,2,100,0,TOUCHDOWN,5,30,97,1
0572025420230831,9,254,2,100,69,KICKOFF,2,100,54,PUNT,4,15,0,0
0572025420230831,10,572,2,100,93,PUNT,2,0,96,END OF HALF,3,-3,100,0
0572025420230831,11,572,3,900,75,KICKOFF,3,852,0,TOUCHDOWN,3,75,48,0
0572025420230831,12,254,3,852,72,KICKOFF,3,749,67,PUNT,3,5,103,0
0572025420230831,13,572,3,749,70,PUNT,3,482,0,TOUCHDOWN,9,70,267,0
0572025420230831,14,254,3,482,65,KICKOFF,3,381,0,TOUCHDOWN,5,65,101,0
0572025420230831,15,572,3,381,84,KICKOFF,3,216,54,PUNT,5,30,165,0
0572025420230831,16,254,3,216,88,PUNT,3,114,80,PUNT,3,8,102,0
0572025420230831,17,572,3,114,72,PUNT,3,90,82,INTERCEPTION,1,-10,24,0
0572025420230831,18,572,3,90,75,KICKOFF,4,587,50,PUNT,10,25,403,0
0572025420230831,19,254,4,587,83,PUNT,4,496,0,TOUCHDOWN,4,83,91,1
0572025420230831,20,572,4,496,79,KICKOFF,4,387,0,TOUCHDOWN,3,79,109,1
0572025420230831,21,254,4,387,76,KICKOFF,4,292,75,PUNT,4,1,95,0
0572025420230831,22,572,4,292,74,PUNT,4,271,74,PUNT,3,0,21,0
0572025420230831,23,254,4,271,59,PUNT,4,0,40,END OF HALF,9,19,271,0
0331012820230831,1,128,1,900,75,KICKOFF,1,656,0,TOUCHDOWN,11,75,244,1
0331012820230831,2,331,1,652,78,KICKOFF,1,537,83,PUNT,3,-5,115,0
0331012820230831,3,128,1,537,59,PUNT,1,367,0,TOUCHDOWN,6,59,170,1
0331012820230831,4,331,1,367,75,KICKOFF,1,200,26,FIELD GOAL,9,49,167,0
0331012820230831,5,128,1,200,65,KICKOFF,1,62,32,FUMBLE,5,33,138,0
0331012820230831,6,331,1,62,68,FUMBLE,2,751,26,MISSED FIELD GOAL,11,42,211,0
0331012820230831,7,128,2,751,74,MISSED FIELD GOAL,2,526,0,TOUCHDOWN,10,74,225,1
0331012820230831,8,331,2,526,75,KICKOFF,2,476,75,PUNT,3,0,50,0
0331012820230831,9,128,2,476,49,PUNT,2,297,32,INTERCEPTION,6,17,179,0
0331012820230831,10,331,2,297,80,INTERCEPTION,2,108,49,INTERCEPTION,6,31,189,0
0331012820230831,11,128,2,108,94,INTERCEPTION,2,42,0,TOUCHDOWN,8,94,66,1
0331012820230831,12,331,2,42,75,KICKOFF,2,0,74,END OF HALF,1,1,42,0
0331012820230831,13,331,3,900,75,KICKOFF,3,754,61,PUNT,6,14,146,0
0331012820230831,14,128,3,754,78,PUNT,3,637,0,TOUCHDOWN,5,78,117,0
0331012820230831,15,331,3,630,64,KICKOFF,3,523,49,PUNT,6,15,107,0
0331012820230831,16,128,3,523,89,PUNT,3,415,65,PUNT,5,24,108,0
0331012820230831,17,331,3,415,77,PUNT,3,273,44,DOWNS,7,33,142,0
0331012820230831,18,128,3,273,56,DOWNS,3,247,0,TOUCHDOWN,2,56,26,0
0331012820230831,19,331,3,247,75,KICKOFF,3,49,25,FIELD GOAL,8,50,198,1
0331012820230831,20,128,3,49,75,KICKOFF,4,809,12,INTERCEPTION,6,63,140,1
0331012820230831,21,331,4,809,80,INTERCEPTION,4,613,65,PUNT,6,15,196,0
0331012820230831,22,128,4,613,62,PUNT,4,446,0,TOUCHDOWN,7,62,167,1
0331012820230831,23,331,4,446,75,KICKOFF,4,360,75,PUNT,3,0,86,0
0331012820230831,24,128,4,360,68,PUNT,4,54,0,TOUCHDOWN,10,68,306,1
0331012820230831,25,331,4,48,74,KICKOFF,4,0,60,END OF HALF,2,14,48,0
0463042820230831,1,428,1,895,81,KICKOFF,1,585,53,PUNT,9,28,310,0
0463042820230831,2,463,1,585,99,PUNT,1,312,67,PUNT,6,32,273,0
0463042820230831,3,428,1,312,83,PUNT,2,751,16,FIELD GOAL,13,67,461,1
0463042820230831,4,463,2,751,82,KICKOFF,2,522,49,INTERCEPTION,7,33,229,0
0463042820230831,5,428,2,522,74,INTERCEPTION,2,219,36,MISSED FIELD GOAL,12,38,303,0
0463042820230831,6,463,2,219,64,MISSED FIELD GOAL,2,7,6,INTERCEPTION,11,58,212,1
0463042820230831,7,428,2,7,80,INTERCEPTION,2,0,83,END OF HALF,1,-3,7,0
0463042820230831,8,463,3,900,35,KICKOFF,3,843,0,TOUCHDOWN,2,35,57,0
0463042820230831,9,428,3,843,81,KICKOFF,3,754,77,PUNT,3,4,89,0
0463042820230831,10,463,3,754,58,PUNT,3,517,56,PUNT,6,2,237,0
0463042820230831,11,428,3,517,82,PUNT,3,319,24,INTERCEPTION,7,58,198,0
0463042820230831,12,463,3,319,89,INTERCEPTION,4,762,9,FIELD GOAL,13,80,457,1
0463042820230831,13,428,4,762,81,KICKOFF,4,736,81,PUNT,3,0,26,0
0463042820230831,14,463,4,736,62,PUNT,4,681,62,PUNT,3,0,55,0
0463042820230831,15,428,4,681,83,PUNT,4,437,69,PUNT,8,14,244,0
0463042820230831,16,463,4,437,68,PUNT,4,293,47,FUMBLE,4,21,144,0
0463042820230831,17,428,4,293,53,FUMBLE,4,152,0,TOUCHDOWN,10,53,141,1
0463042820230831,18,463,4,152,75,KICKOFF,4,58,46,INTERCEPTION,5,29,94,0
0463042820230831,19,428,4,58,51,INTERCEPTION,4,0,29,FIELD GOAL,6,22,58,0
1068074920230831,1,1068,1,900,75,KICKOFF,1,845,74,PUNT,3,1,55,0
1068074920230831,2,749,1,845,53,PUNT,1,696,0,TOUCHDOWN,7,53,149,1
1068074920230831,3,1068,1,696,75,KICKOFF,1,566,82,PUNT,3,-7,130,0
1068074920230831,4,749,1,566,60,PUNT,1,465,62,PUNT,3,-2,101,0
1068074920230831,5,1068,1,465,76,PUNT,1,364,81,PUNT,3,-5,101,0
1068074920230831,6,749,1,364,84,PUNT,1,174,16,FIELD GOAL,8,68,190,1
1068074920230831,7,1068,1,170,74,KICKOFF,1,41,66,PUNT,3,8,129,0
1068074920230831,8,749,1,41,65,PUNT,2,866,0,TOUCHDOWN,5,65,75,0
1068074920230831,9,1068,2,862,82,KICKOFF,2,733,88,PUNT,3,-6,129,0
1068074920230831,10,749,2,733,43,PUNT,2,644,57,PUNT,3,-14,89,0
1068074920230831,11,1068,2,644,88,PUNT,2,168,10,INTERCEPTION,15,78,476,1
1068074920230831,12,749,2,168,80,INTERCEPTION,2,101,0,TOUCHDOWN,3,80,67,0
1068074920230831,13,1068,2,101,75,KICKOFF,2,44,68,PUNT,3,7,57,0
1068074920230831,14,749,2,44,82,PUNT,2,0,80,END OF HALF,1,2,44,0
1068074920230831,15,749,3,892,67,KICKOFF,3,633,11,FIELD GOAL,11,56,259,1
1068074920230831,16,1068,3,625,76,KICKOFF,3,513,0,TOUCHDOWN,4,76,112,0
1068074920230831,17,749,3,506,76,KICKOFF,3,400,66,PUNT,4,10,106,0
1068074920230831,18,1068,3,400,82,PUNT,3,333,75,PUNT,3,7,67,0
1068074920230831,19,749,3,333,66,PUNT,3,264,55,INTERCEPTION,3,11,69,0
1068074920230831,20,749,3,256,50,KICKOFF,3,58,11,FIELD GOAL,10,39,198,1
1068074920230831,21,1068,3,58,75,KICKOFF,4,624,57,PUNT,8,18,334,0
1068074920230831,22,749,4,624,74,PUNT,4,460,66,PUNT,6,8,164,0
1068074920230831,23,1068,4,460,71,PUNT,4,404,67,INTERCEPTION,3,4,56,0
1068074920230831,24,749,4,404,41,INTERCEPTION,4,249,0,TOUCHDOWN,4,41,155,1
1068074920230831,25,1068,4,249,75,KICKOFF,4,1,10,FIELD GOAL,15,65,248,1
0488000920230831,1,9,1,894,81,KICKOFF,1,572,0,TOUCHDOWN,13,81,322,1
0488000920230831,2,488,1,564,64,KICKOFF,1,143,19,FIELD GOAL,12,45,421,1
0488000920230831,3,9,1,135,67,KICKOFF,2,727,0,TOUCHDOWN,13,67,308,1
0488000920230831,4,488,2,727,75,KICKOFF,2,514,35,DOWNS,7,40,213,0
0488000920230831,5,9,2,514,65,DOWNS,2,397,23,FUMBLE,4,42,117,0
0488000920230831,6,488,2,397,77,FUMBLE,2,270,75,PUNT,3,2,127,0
0488000920230831,7,9,2,270,45,PUNT,2,25,0,TOUCHDOWN,8,45,245,1
0488000920230831,8,488,2,25,75,KICKOFF,2,0,75,END OF HALF,1,0,25,0
0488000920230831,9,488,3,900,75,KICKOFF,3,706,60,PUNT,6,15,194,0
0488000920230831,10,9,3,706,88,PUNT,3,583,88,PUNT,3,0,123,0
0488000920230831,11,488,3,583,42,PUNT,3,429,31,MISSED FIELD GOAL,4,11,154,0
0488000920230831,12,9,3,429,69,MISSED FIELD GOAL,3,261,0,TOUCHDOWN,6,69,168,0
0488000920230831,13,488,3,254,78,KICKOFF,4,804,16,FIELD GOAL,12,62,350,1
0488000920230831,14,9,4,804,65,KICKOFF,4,470,10,MISSED FIELD GOAL,14,55,334,1
0488000920230831,15,488,4,470,80,MISSED FIELD GOAL,4,265,61,PUNT,6,19,205,0
0488000920230831,16,9,4,265,99,PUNT,4,28,0,TOUCHDOWN,11,99,237,1
0488000920230831,17,488,4,17,64,KICKOFF,4,0,60,END OF HALF,1,4,17,0
0667002820230831,1,667,1,895,85,KICKOFF,1,659,70,PUNT,6,15,236,0
0667002820230831,2,28,1,659,68,PUNT,1,540,0,TOUCHDOWN,5,68,119,1
0667002820230831,3,667,1,540,75,KICKOFF,1,276,59,PUNT,6,16,264,0
0667002820230831,4,28,1,276,85,PUNT,1,168,75,PUNT,5,10,108,0
0667002820230831,5,667,1,168,62,PUNT,2,665,0,TOUCHDOWN,11,62,403,1
0667002820230831,6,28,2,665,75,KICKOFF,2,590,71,PUNT,3,4,75,0
0667002820230831,7,667,2,590,80,PUNT,2,489,76,PUNT,3,4,101,0
0667002820230831,8,28,2,489,77,PUNT,2,332,0,TOUCHDOWN,7,77,157,0
0667002820230831,9,667,2,327,86,KICKOFF,2,176,63,PUNT,4,23,151,0
0667002820230831,10,28,2,176,75,PUNT,2,2,0,TOUCHDOWN,8,75,174,1
0667002820230831,11,28,3,890,80,KICKOFF,3,772,74,PUNT,3,6,118,0
0667002820230831,12,667,3,772,63,PUNT,3,617,45,PUNT,4,18,155,0
0667002820230831,13,28,3,617,89,PUNT,3,502,75,PUNT,4,14,115,0
0667002820230831,14,667,3,502,62,PUNT,3,327,61,PUNT,4,1,175,0
0667002820230831,15,28,3,327,80,PUNT,3,268,78,PUNT,3,2,59,0
0667002820230831,16,667,3,268,70,PUNT,3,49,0,TOUCHDOWN,5,70,219,1
0667002820230831,17,28,3,30,6,KICKOFF,4,821,20,FIELD GOAL,4,-14,109,1
0667002820230831,18,667,4,813,68,KICKOFF,4,750,69,PUNT,3,-1,63,0
0667002820230831,19,28,4,750,88,PUNT,4,470,61,PUNT,9,27,280,0
0667002820230831,20,28,4,470,75,KICKOFF,4,380,64,PUNT,5,11,90,0
0667002820230831,21,667,4,380,60,PUNT,4,319,57,PUNT,3,3,61,0
0667002820230831,22,28,4,319,87,PUNT,4,0,31,END OF HALF,10,56,319,0
0367025520230901,1,255,1,894,82,KICKOFF,1,823,75,INTERCEPTION,3,7,71,0
0367025520230901,2,367,1,823,27,INTERCEPTION,1,733,15,FIELD GOAL,5,12,90,1
0367025520230901,3,255,1,728,83,KICKOFF,1,500,44,PUNT,8,39,228,0
0367025520230901,4,367,1,500,91,PUNT,1,373,88,PUNT,3,3,127,0
0367025520230901,5,255,1,373,57,PUNT,1,287,54,PUNT,3,3,86,0
0367025520230901,6,367,1,287,92,PUNT,1,21,13,FIELD GOAL,10,79,266,1
0367025520230901,7,255,1,21,75,KICKOFF,2,710,0,TOUCHDOWN,9,75,211,1
0367025520230901,8,367,2,710,75,KICKOFF,2,646,69,PUNT,3,6,64,0
0367025520230901,9,255,2,646,72,PUNT,2,543,0,TOUCHDOWN,4,72,103,1
0367025520230901,10,367,2,543,75,KICKOFF,2,342,0,TOUCHDOWN,6,75,201,1
0367025520230901,11,255,2,342,75,KICKOFF,2,197,0,TOUCHDOWN,5,75,145,0
0367025520230901,12,367,2,197,75,KICKOFF,2,114,73,PUNT,3,2,83,0
0367025520230901,13,255,2,114,65,PUNT,2,42,0,TOUCHDOWN,3,65,72,0
0367025520230901,14,367,2,42,87,KICKOFF,2,5,82,INTERCEPTION,3,5,37,0
0367025520230901,15,255,2,5,37,INTERCEPTION,2,0,37,MISSED FIELD GOAL,1,0,5,0
0367025520230901,16,367,3,893,73,KICKOFF,3,499,5,FIELD GOAL,13,68,394,1
0367025520230901,17,255,3,499,75,KICKOFF,3,450,78,PUNT,3,-3,49,0
0367025520230901,18,367,3,450,65,PUNT,3,281,0,TOUCHDOWN,6,65,169,1
0367025520230901,19,255,3,281,75,KICKOFF,3,119,57,PUNT,5,18,162,0
0367025520230901,20,367,3,119,92,PUNT,3,42,88,PUNT,3,4,77,0
0367025520230901,21,255,3,42,49,PUNT,4,666,15,MISSED FIELD GOAL,9,34,276,1
0367025520230901,22,367,4,666,80,MISSED FIELD GOAL,4,488,0,TOUCHDOWN,7,80,178,1
0367025520230901,23,255,4,488,75,KICKOFF,4,233,26,FUMBLE,8,49,255,1
0367025520230901,24,367,4,233,74,FUMBLE,4,221,0,TOUCHDOWN,1,74,12,0
0367025520230901,25,255,4,221,75,KICKOFF,4,179,71,DOWNS,4,4,42,0
0367025520230901,26,367,4,179,29,DOWNS,4,157,21,FIELD GOAL,4,8,22,0
0367025520230901,27,255,4,157,75,KICKOFF,4,67,0,TOUCHDOWN,7,75,90,1
0367025520230901,28,367,4,65,45,KICKOFF,4,0,47,END OF HALF,2,-2,65,0
0674027720230901,1,277,1,900,75,KICKOFF,1,871,75,PUNT,3,0,29,0
0674027720230901,2,674,1,871,50,PUNT,1,789,51,PUNT,3,-1,82,0
0674027720230901,3,277,1,789,80,PUNT,1,702,78,PUNT,3,2,87,0
0674027720230901,4,674,1,702,72,PUNT,1,445,0,TOUCHDOWN,12,72,257,1
0674027720230901,5,277,1,445,75,KICKOFF,1,355,75,PUNT,3,0,90,0
0674027720230901,6,674,1,355,70,PUNT,1,299,73,PUNT,3,-3,56,0
0674027720230901,7,277,1,299,75,PUNT,2,851,0,TOUCHDOWN,11,75,348,1
0674027720230901,8,674,2,851,75,KICKOFF,2,744,0,TOUCHDOWN,5,75,107,0
0674027720230901,9,277,2,736,71,KICKOFF,2,624,65,PUNT,3,6,112,0
0674027720230901,10,674,2,624,66,PUNT,2,265,0,TOUCHDOWN,11,66,359,1
0674027720230901,11,277,2,265,75,KICKOFF,2,136,82,PUNT,3,-7,129,0
0674027720230901,12,674,2,136,65,PUNT,2,63,50,PUNT,5,15,73,0
